recipe_id,length,sentiment,topics,persona_name,characteristics.age,characteristics.gender_identity,characteristics.occupation,characteristics.political_leaning,characteristics.communication_style,characteristics.core_motivation
rID_262,Medium,Very Negative,['Housing & Planning'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_115,Short,Very Positive,['Pensions & National Insurance'],The Carer for a Disabled Family Member,55,Female,Full-time Unpaid Carer,"No time for politics, but experiences make her critical of social care funding.","Tired, frustrated, but articulate about the failings of the support system.",The failure of other support systems has left her with no other choice but to contact her MP.
rID_890,Medium,Neutral,"['Crime & Community Safety', 'Foreign Affairs & International Development']",The 'Disengaged Traditionalist',68,Female,Retired,Believes in traditional values but is generally suspicious and tired of all politics.,"Short, to the point, and written with a sense of duty rather than any real expectation of a result.",A specific local nuisance or a matter of principle has prompted a reluctant letter.
rID_770,Medium,Negative,['Pensions & National Insurance'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_852,Medium,Neutral,['Immigration & Asylum'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_941,Medium,Neutral,"['Healthcare & NHS', 'Pensions & National Insurance']",The Military Veteran,58,Male,Retired / Security work,"Tends to be patriotic and socially conservative, but critical of government support.","Direct, sometimes blunt, with a strong sense of entitlement to support.",A feeling of being let down by the system after serving the country.
rID_173,Medium,Very Positive,['Environment & Climate Change'],The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_639,Medium,Negative,['Local Government & Council Tax'],The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_86,Medium,Positive,['Local Government & Council Tax'],The Apathetic Teenager,18,Male,Student / Unemployed,Low interest and knowledge of politics.,"Very informal, uses slang, may be very short.","A very specific, personal, and immediate issue (e.g., closure of a local skatepark)."
rID_4,Medium,Very Negative,['Local Government & Council Tax'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_870,Medium,Mixed,['Energy & Utilities'],The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_624,Medium,Mixed,['Immigration & Asylum'],The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_745,Medium,Mixed,"[""Employment & Workers' Rights""]",The Council Tenant Facing Eviction,48,Male,Unemployed or in precarious work,Likely Labour but feels let down by everyone.,"Emotional, desperate, and written in a state of crisis.",A last-ditch attempt to save their home.
